Category,Sub Category,Product,Description,Price,Product Image,Product Url,Configuration
Accessories,Accessories;AdaptersandCables;PADTGXADADDV,Adapter: ADC->DVI Belkin cable[PADTGXADADDV],"Description: This ADC to DVI cable adapter will fit any PowerMac G4 or PowerMac G5 with an ADC port on the video card, and allow an additional LCD monitor with a DVI connection to be connected. This would then allow a possible extended desktop with two monitors connected (or a mirror image of your other display if you have a PowerMac G4 with a 16Mb video card or a low-end 32Mb video card that does not support dual monitors.)This does NOT allow an Apple monitor with an ADC connection to be connected to a PowerMac G4 or PowerMac G5 with a DVI port on the video card.Compatability:-- PowerMac G4 Gigabit Ethernet GB 400Mhz or 450/500Mhz Dual (mirror only)-- PowerMac G4 Digital Audio DA 466/533/667/733Mhz or 533Mhz Dual (mirror only)-- PowerMac G4 QuickSilver QS 733/867Mhz or 800Mhz Dual (mirror only)-- PowerMac G4 QuickSilver QS 800/933Mhz or 1Ghz Dual (dual display)-- PowerMac G4 Mirror Drive Doors MDD -all models- (dual display)-- PowerMac G5 original/June 2004/Late 2004 models 1.6/1.8Ghz and 1.8/2.0/2.5Ghz Dual (dual display; does not fit Early 2005 2.0/2.3/2.7Ghz Dual nor Late 2005 2.0/2.3Ghz Dual Core nor 2.5Ghz Quad Core)--Note: Does not fit any PowerMac G5 Early 2005 or Late 2005, nor any Apple notebook at all; if your PowerMac G4 or PowerMac G5 has been replaced with an alternative card other than the original card, then you may need to check for a compatible ADC portPart number(s): N/ALength: The cable adapter is approx 20cm or 8in long",$59.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=297&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAVIDVVG59,Adapter: DVI->VGA cable Apple for PowerBook/MacBook Pro/PowerMac[ACCAVIDVVG59],"Description: This original Apple cable adapter with DVI(m) to VGA(f) (or SVGA) will fit any Apple notebook or desktop with a DVI port, and allow your LCD/monitor to be connected with a VGA(m) or SVGA(m) connection.Model: M8754Compatability:-- PowerBook G4 Titanium 15in - all models with DVI port-- PowerBook G4 Aluminium 15in/17in - all models-- MacBook Pro 15in/17in - all models with DVI port-- Mac Minis - all models with DVI port-- PowerMac G4 Mirror Drive Doors MDD with DVI port--Note: This does fit some early models of PowerMac G4s with a DVI port, or a PowerMac G4 with an upgraded/replacement video card-- PowerMac G5 - all models with DVI port-- Mac Pro - all models with DVI port-- Note: This does not fit any other PowerBook G4 - Aluminium 12in or Titanium early 15in Titanium with VGA port, nor any MacBook 13in nor MacBook Pro Unibody 13in/15in/17in nor any MacBook Air 11in/13inPart number(s): 603-3342, 922-4726, 922-5201Length: The cable adapter varies approx 12-23cm or 5-9in long",$29.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=358&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACADVIDVVG59,Adapter: DVI->VGA non-Apple for PowerBook/MacBook Pro/PowerMac[ACADVIDVVG59],"Description: This non-Apple adapter with DVI(m) to VGA(f) (or SVGA) will fit any Apple notebook or desktop with a DVI port, and allow your LCD/monitor to be connected with a VGA(m) or SVGA(m) connection.Note: Sample image only - it may vary in size and colourCompatability:-- PowerBook G4 Titanium 15in - all models with DVI port-- PowerBook G4 Aluminium 15in/17in - all models-- MacBook Pro 15in/17in - all models with DVI port-- Mac Minis - all models with DVI port-- PowerMac G4 Mirror Drive Doors MDD with DVI port--Note: This does fit some early models of PowerMac G4s with a DVI port, or a PowerMac G4 with an upgraded/replacement video card-- PowerMac G5 - all models with DVI port-- Mac Pro - all models with DVI port-- Note: This does not fit any other PowerBook G4 - Aluminium 12in or Titanium early 15in Titanium with VGA port, nor any MacBook 13in nor MacBook Pro Unibody 13in/15in/17in nor any MacBook Air 11in/13inPart number(s): Replacement 603-3342, 922-4726, 922-5201",$19.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=585&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAFW4869AD,Adapter: FireWire 400->800 -- 6->9pin[ACCAFW4869AD],"Description: FireWire adapter 400->800 (or 6pin female to 9pin male)Model: Compatible FireWire adapter to connect older external devices and/or Macintosh computers to newer models of desktops/notebooks or devices which do not have the older FireWire 400 port (6pin), but have the newer FireWire 800 port (9pin).Compatability:-- Computer or device with FireWire 400 port (6pin) and computer or device with FireWire 800 port (9pin)Part number(s): N/A",$22.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=370&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACADMCMVGFDS,Adapter: Mac DB15pin(m) -> VGA DB15pin(f) with dip switches[ACADMCMVGFDS],,$29.95,http://www.applebits.net/images/products/ac/ad/acadmcmvgfds.jpg,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=419&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;PAPOGXADMVVG,Adapter: mini-VGA->VGA Apple cable for white iBook/iMac/eMac/PB [PAPOGXADMVVG],"Description: This mini-VGA to VGA (or mini-SVGA to SVGA) cable adapter will fit any white iBook G3 or G4 and allow a mirror image of what is on your LCD to an external monitor with a VGA or SVGA connection.Model: M8639Compatability:-- iBook G3 (12in or 14in) 500/600/700/800/900Mhz-- iBook G4 12in 800Mhz and 1.0/1.2/1.33Ghz-- iBook G4 14in 933Mhz and 1.0/1.25/1.33/1.42Ghz-- PowerBook G4 12in Aluminium 867Mhz only--Note: Does not fit any other PowerBook G4 in 12/15/17in Aluminium or Titanium, nor any MacBook Pro in 15/17in)-- eMac G4 700/800Mhz and 1.0/1.25/1.42Ghz-- iMac G4 700/800 and 1.0/1.25Ghz in either a 15/17/20in size-- iMac G5 1.6/1.8/1.9/2.0/2.1Ghz in either a 17/20in size--Note: Does not fit any iMac or MacBook or MacBook Pro or MacBook Air with Intel Core Duo or Core 2 Duo in 17/20/24inPart number(s): N/ALength: The cable adapter is approx 15cm or 6in long",$19.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=285&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAFW44666F,Cable: FireWire 400->400 -- 6->6pin 1.8m non-Apple[ACCAFW44666F],Description: FireWire cable 400->400 (or 6pin female to 6pin female)Model: Compatible FireWire cable to connect older external devices to older and newer models of desktops/notebooks which have the older FireWire 400 port (6pin).Compatability:-- Computer with FireWire 400 port (6pin) and device or computer with FireWire 400 port (6pin)Part number(s): N/A,$19.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=451&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAFW48691M,Cable: FireWire 400->800 -- 6->9pin 1m non-Apple[ACCAFW48691M],"Description: FireWire cable 400->800 (or 6pin female to 9pin female)Model: Compatible FireWire cable to connect older external devices to newer models of desktops/notebooks which do not have the older FireWire 400 port (6pin), but have the newer FireWire 800 port (9pin).Compatability:-- Computer with FireWire 400 port (6pin) and device with FireWire 800 port (9pin)-- Computer with FireWire 800 port (9pin) and device with FireWire 400 port (6pin)Part number(s): N/A",$19.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=359&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;PAPE922;6529,"Cable: Power Apple for Cinema Displays 20""/23""/30"" C13 X922-6529[PAPE922-6529]",,$21.95,http://www.applebits.net/images/products/ac/ca/pc/pape922-6529--accapccdc13.jpg,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=605&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAPCIMG5IN,Cable: Power Apple for iMac G5/Core Duo/Core 2 Duo C13 X922-7139[ACCAPCIMG5IN],,$22.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=381&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAPCPMG5C1,Cable: Power Apple for PowerMac G5 Dual/Quad Core C19 X922-6782[ACCAPCPMG5C1],,$39.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=416&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;PAPOGXPCAUBH,Cable: Power Apple for white iBook/PowerBook/MacBook adapter[PAPOGXPCAUBH],"Description: Power cable for white iBook/PowerBook/MacBook adapter with an Australian connectionModel: White power adapter required and not included. The power cable can connect to a white 45/65w power adapter, or a 40/60/85w MagSafe power adapter.Compatability:-- iBook G3 (12in or 14in) 500/600/700/800/900Mhz-- iBook G4 12in 800Mhz and 1.0/1.2/1.33Ghz-- iBook G4 14in 933Mhz and 1.0/1.25/1.33/1.42Mhz-- PowerBook G4 12in Aluminium 867Mhz and 1.0/1.33/1.5Ghz-- PowerBook G4 15in Titanium 400/500/550/667/800/867Mhz and 1Ghz-- PowerBook G4 15in Aluminium 1.0/1.25/1.33/1.5/1.67Ghz-- PowerBook G4 17in Aluminium 1Ghz/1.33/1.5/1.67Ghz-- All MacBook/MacBook Pros/MacBook AirNote: This power cord will not fit the early round or ""yo-yo"" power adapters for early model iBooks and PowerBooks. It will also not fit early model iBook white power adapters with a figure 8 connection. It must have a B type connection.Part number(s): N/A",$22.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=254&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAPCIECF8,Cable: Power figure 8 for Apple TV[ACCAPCIECF8],Description: Power cable figure 8 for Apple TVModel: This is a white power cable for an Apple TVCompatability:-- Apple TV (all models)Part number(s): N/A,$9.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=621&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAPCIECC7,Cable: Power non-Apple for iMac G4/Mac Mini[ACCAPCIECC7],Description: Power cable non-Apple for iMac G4Model: This is a black non-Apple power cable for all iMac G4s.Compatability:-- iMac G4 15in 700/800Mhz and 1.0Ghz-- iMac G4 17in 800Mhz and 1.0/1.25Ghz-- iMac G4 20in 1.25Ghz-- Power adapter for Mac Mini A1188 661-0426 661-3739Part number(s): N/A,$12.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=342&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCASC25251M,Cable: SCSI DB25pin(m) -> DB25pin(m) 1m[ACCASC25251M],"Description: SCSI cable DB25pin (male) -> DB25pin (male)Model: Compatible SCSI cable to connect SCSI external devices to PowerMac models (and earlier models), or external SCSI devices to other SCSI devices (Apple and non-Apple).Compatability:-- Computer with SCSI DB25pin port (female) and external device with SCSI DB25pin port (female)-- Two external devices with a SCSI DB25pin port (female) eachApprox length: 1.5m (or 5 feet)Part number(s): N/A",$14.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=393&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;AdaptersandCables;ACCAVIMACVGA,Cable: Video for Apple 15in/17in Multiple Scan Display 387-822A/[ACCAVIMACVGA],,$34.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_15&products_id=440&osCsid=huc93ra4nq18e071furuohppk3,
Accessories,Accessories;Keyboards;ACADKBAPEXII,ADB: Apple Extended Keyboard II M3501[ACADKBAPEXII],"Description: Apple ADB Extended Keyboard IINote: Sample image onlyModel number: M3501Part number: 661-0543Connection: ADBSpecial keys: Power button, function keysADB cable: IncludedRequirements: Apple Macintosh computer with ADB port",$20.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=240&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACADKBAPEXKB,ADB: Apple Extended Keyboard M2980[ACADKBAPEXKB],"Description: Apple ADB Extended KeyboardNote: Sample image onlyModel number: M2980Connection: ADBSpecial keys: Power button, function keysADB cable: IncludedRequirements: Apple Macintosh computer with ADB port",$15.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=239&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACADKBAPPLE,ADB: Apple Keyboard[ACADKBAPPLE],Description: Apple ADB KeyboardNote: Sample image onlyModel number: NAConnection: ADBSpecial keys: Power buttonADB cable: IncludedRequirements: Apple Macintosh computer with ADB port,$8.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=237&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACADKBAPPLII,ADB: Apple Keyboard II[ACADKBAPPLII],Description: Apple ADB Keyboard IINote: Sample image onlyModel number: M0487Connection: ADBSpecial keys: Power buttonADB cable: IncludedRequirements: Apple Macintosh computer with ADB port,$25.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=238&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACADKBAPEXII,ADB: AppleDesign Keyboard[ACADKBAPEXII],"Description: ADB AppleDesign KeyboardNote: Sample image onlyModel number: M2980Connection: ADBSpecial keys: Power button, function keysADB cable: AttachedRequirements: Apple Macintosh computer with ADB port",$20.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=241&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPKBBB,USB: Apple Keyboard (Blueberry) M2452[ACUSKBAPKBBB],"Description: USB Apple Keyboard (Blueberry) M2452Note: Sample image onlyModel number: M2452Part number: 922-4078, 922-4161, 922-4077Connection: USBCable length: Approx 1m (3ft)Special keys: Power button, function keysRequirements: Apple Macintosh computer with USB port; Mac OS 8.1 or later",$24.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=242&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPKBGP,USB: Apple Keyboard (Grape) M2452 [new][ACUSKBAPKBGP],"Description: USB Apple Keyboard (Grape) M2452 [new]Note: Sample image onlyModel number: M2452Part number: 922-4080Connection: USBCable length: Approx 1m (3ft)Special keys: Power button, function keysRequirements: Apple Macintosh computer with USB port; Mac OS 8.1 or later",$34.95,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=244&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPUSWH,USB: Apple Keyboard (White) A1048 M9043[ACUSKBAPUSWH],"Description: USB Apple Keyboard (White) A1048, M9043Note: Sample image onlyModel number: A1048, M9043Part number: 661-2939, 661-3800, M9043, 922-4642, 658-0306Connection: USBCable length: Approx 1m (3ft)Special keys: Volume keys (3), Eject key, function keys (16)Requirements: Apple Macintosh computer with USB port; Mac OS 9.0.4 or later",$59.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=248&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPMIAL,USB: Apple Keyboard mini (aluminium; silver) A1242 MB869[ACUSKBAPMIAL],"Description: USB Apple mini Keyboard A1242 (aluminium; silver)Note: Sample image onlyModel number: A1242, MB869Connection: USB 1.1 or 2.0Cable length: Approx 1m (3ft)Ports: 2x USB 2.0Special keys: Volume keys (3), Eject key, function keys (12), iTunes keys, no numeric keypadRequirements: Apple Macintosh computer with USB port; Mac OS X 10.5.6 or later",$45.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=571&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPEXAL,USB: Apple Keyboard with numeric keys (aluminium; silver) A1243[ACUSKBAPEXAL],"Description: USB Apple Keyboard A1243 (aluminium; silver)Note: Sample image onlyModel number: A1243, MB110Connection: USB 1.1 or 2.0Cable length: Approx 1m (3ft)Ports: 2x USB 2.0Special keys: Volume keys (3), Eject key, function keys (19), iTunes keys, numeric keypadRequirements: Apple Macintosh computer with USB port; Mac OS X 10.4.10 or later",$79.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=740&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPPRBL,USB: Apple Pro Keyboard (Black) M7803[ACUSKBAPPRBL],"Description: USB Apple Pro Keyboard (Black) M7803Note: Sample image onlyModel number: M7803Part number: 661-4320, 076-0933Connection: USBCable length: Approx 1m (3ft)Special keys: Volume keys (3), Eject key, function keys (15)Requirements: Apple Macintosh computer with USB port; Mac OS 9.0.4 or later",$35.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=245&osCsid=gbhed29aj1dh5op1aou7hnkce7,
Accessories,Accessories;Keyboards;ACUSKBAPPROW,USB: Apple Pro Keyboard (off-White) M7803 M8691[ACUSKBAPPROW],"Description: USB Apple Pro Keyboard (off-White) M8691Note: Sample image onlyNote: This keyboard was one of the first lot that came out with the original eMacs where the keys and/or the background discoloured over time. The keyboard is still 100% functional.Model number: M8691Part number: 661-2940Connection: USBCable length: Approx 1m (3ft)Special keys: Volume keys (3), Eject key, function keys (15)Requirements: Apple Macintosh computer with USB port; Mac OS 9.0.4 or later",$30.00,,http://www.applebits.net/catalog/product_info.php?cPath=41_49&products_id=247&osCsid=gbhed29aj1dh5op1aou7hnkce7,
